profile_id,forum_id,username,display_name,bio,joined_date,pgp_fingerprint,profile_url,collected_at
A001,F001,shadowfox,Shadowfox,prefers short factual replies when a thread gets noisy; published PGP fingerprint: 3A51BFA53BEDBF12EFD852A5EA9640169DB1832B,2025-01-17,3A51BFA53BEDBF12EFD852A5EA9640169DB1832B,http://source.example.invalid/user/shadowfox,2025-05-01T10:22:00Z
A002,F002,shadow_fox,Shadow Fox,checks source details before relying on a post,2025-01-17,,http://source.example.invalid/user/shadow_fox,2025-05-01T10:23:00Z
A003,F003,sfox77,Sfox77,prefers short factual replies when a thread gets noisy; contact: sfox77.demo@sample.test; published PGP fingerprint: 3A51BFA53BEDBF12EFD852A5EA9640169DB1832B,2025-01-20,3A51BFA53BEDBF12EFD852A5EA9640169DB1832B,http://source.example.invalid/user/sfox77,2025-05-01T10:24:00Z
A004,F002,darkwolf,Darkwolf,occasionally follows vendor and archive discussions; published PGP fingerprint: B85752AECC22AB55C230ECCDF4C58AA8EFA1C160,2025-01-17,B85752AECC22AB55C230ECCDF4C58AA8EFA1C160,http://source.example.invalid/user/darkwolf,2025-05-01T10:25:00Z
A005,F004,dark_wolf,Dark Wolf,keeps older references for comparison,2025-01-17,,http://source.example.invalid/user/dark_wolf,2025-05-01T10:26:00Z
A006,F005,dw77,Dw77,occasionally follows vendor and archive discussions; published PGP fingerprint: B85752AECC22AB55C230ECCDF4C58AA8EFA1C160,2025-01-20,B85752AECC22AB55C230ECCDF4C58AA8EFA1C160,http://source.example.invalid/user/dw77,2025-05-01T10:27:00Z
A007,F003,cipherbyte,Cipherbyte,checks source details before relying on a post; published PGP fingerprint: 443430C255C2C98EB1475BBD0E636184D62971EC,2025-01-17,443430C255C2C98EB1475BBD0E636184D62971EC,http://source.example.invalid/user/cipherbyte,2025-05-01T10:28:00Z
A008,F005,cipher_byte,Cipher Byte,prefers short factual replies when a thread gets noisy; published PGP fingerprint: 443430C255C2C98EB1475BBD0E636184D62971EC,2025-01-17,443430C255C2C98EB1475BBD0E636184D62971EC,http://source.example.invalid/user/cipher_byte,2025-05-01T10:29:00Z
A009,F006,cbyte,Cbyte,checks source details before relying on a post,2025-01-20,,http://source.example.invalid/user/cbyte,2025-05-01T10:30:00Z
A010,F001,nightraven,Nightraven,keeps older references for comparison; published PGP fingerprint: E2B9F1866448F3EDEDE8EF5AFC2050BC4AE77E22,2025-01-17,E2B9F1866448F3EDEDE8EF5AFC2050BC4AE77E22,http://source.example.invalid/user/nightraven,2025-05-01T10:31:00Z
A011,F004,night_raven,Night Raven,occasionally follows vendor and archive discussions; published PGP fingerprint: E2B9F1866448F3EDEDE8EF5AFC2050BC4AE77E22,2025-01-17,E2B9F1866448F3EDEDE8EF5AFC2050BC4AE77E22,http://source.example.invalid/user/night_raven,2025-05-01T10:32:00Z
A012,F006,nraven,Nraven,keeps older references for comparison,2025-01-20,,http://source.example.invalid/user/nraven,2025-05-01T10:33:00Z
A013,F001,ghostnode,Ghostnode,prefers short factual replies when a thread gets noisy; published PGP fingerprint: CB1736253CFB15D52C641C25ADA8D8944C214DAA,2025-01-17,CB1736253CFB15D52C641C25ADA8D8944C214DAA,http://source.example.invalid/user/ghostnode,2025-05-01T10:34:00Z
A014,F005,ghost_node,Ghost Node,checks source details before relying on a post,2025-01-17,,http://source.example.invalid/user/ghost_node,2025-05-01T10:35:00Z
A015,F006,gnode,Gnode,prefers short factual replies when a thread gets noisy; published PGP fingerprint: CB1736253CFB15D52C641C25ADA8D8944C214DAA,2025-01-20,CB1736253CFB15D52C641C25ADA8D8944C214DAA,http://source.example.invalid/user/gnode,2025-05-01T10:36:00Z
A016,F002,ironmoth,Ironmoth,occasionally follows vendor and archive discussions; published PGP fingerprint: 45A16A6F3B44A748FB74E2168E47BDE42CEE1DF2,2025-01-17,45A16A6F3B44A748FB74E2168E47BDE42CEE1DF2,http://source.example.invalid/user/ironmoth,2025-05-01T10:37:00Z
A017,F003,iron_moth,Iron Moth,keeps older references for comparison; published PGP fingerprint: 45A16A6F3B44A748FB74E2168E47BDE42CEE1DF2,2025-01-17,45A16A6F3B44A748FB74E2168E47BDE42CEE1DF2,http://source.example.invalid/user/iron_moth,2025-05-01T10:38:00Z
A018,F004,imoth9,Imoth9,occasionally follows vendor and archive discussions,2025-01-20,,http://source.example.invalid/user/imoth9,2025-05-01T10:39:00Z
A019,F001,markethelper,Markethelper,checks source details before relying on a post,2025-01-17,,http://source.example.invalid/user/markethelper,2025-05-01T10:40:00Z
A020,F003,redpixel,Redpixel,occasionally follows vendor and archive discussions,2025-01-15,,http://source.example.invalid/user/redpixel,2025-05-01T10:41:00Z
A021,F004,bluebyte,Bluebyte,prefers short factual replies when a thread gets noisy,2025-01-16,,http://source.example.invalid/user/bluebyte,2025-05-01T10:42:00Z
A022,F001,quietowl,Quietowl,keeps older references for comparison,2025-01-17,,http://source.example.invalid/user/quietowl,2025-05-01T10:43:00Z
