transaction_id,wallet_id,transaction_hash,chain,counterparty_address,amount,asset,direction,block_height,timestamp,enriched_at
T0001,W001,545130f11a9c4e97873ea1411b728dcbd1917287589e8d77b3c2fd1b71ffecba,Ethereum,0xf6257cdab4b9f0b486315fe091c749134dfa54b3,0.6,ETH,out,19000010,2025-04-11T00:00:00Z,2025-05-01T11:31:00Z
T0002,W001,df19488a445287dd542ba5d8810ea4af02a6ddbcc61e8dbf606877b6802c117d,Ethereum,0x11e717fa3510395ace18ae57e1684802b4156203,1.33,ETH,in,19000011,2025-04-12T00:00:00Z,2025-05-01T11:31:00Z
T0003,W001,24fa7a6fee03b80038737570033b15fe906b5e9d1a333b6eacad8b85bb198800,Ethereum,0x64bc004d1881d2dec77a21cfa5b782adac02ee91,2.06,ETH,out,19000012,2025-04-13T00:00:00Z,2025-05-01T11:31:00Z
T0004,W002,82b074b952a8aff06c36c49a6bd2ee9e71f8f6fffe8046afbea6848ababf7fb7,Ethereum,0x1ea881648315f1b38f209caff818a5dca7f58a9e,0.7,ETH,out,19000020,2025-04-12T00:00:00Z,2025-05-01T11:32:00Z
T0005,W002,7eb198b7b9f86f09dd2e281722e8a92abe26bec5c3953487a665cc5bce8224f2,Ethereum,0xec76c30c707d052badde4aa807b4af567c5a63d2,1.43,ETH,in,19000021,2025-04-13T00:00:00Z,2025-05-01T11:32:00Z
T0006,W002,295072f2465f7e2265fc4675d9e480512e7af67cfd00a9d4f9b7dfc47fca4a43,Ethereum,0x561c508d2bff62d875a7cd9bf4a916649b722c43,2.16,ETH,out,19000022,2025-04-14T00:00:00Z,2025-05-01T11:32:00Z
T0007,W003,038c5a7eb648d42c7b2a675f771a2d5ae1db52d084d18a4797456895ee29bc9d,Ethereum,0x8f0cc4d66bac1897b3a84ef284335dfb2cf3e2fa,0.8,ETH,out,19000030,2025-04-13T00:00:00Z,2025-05-01T11:33:00Z
T0008,W003,c4c76458e092815e8d5683e00403c10eac45b688fdb2fc63220d7f6a95b7a7ef,Ethereum,0x1ef84707de9c3719849adc3b7d079723bdfc6315,1.53,ETH,in,19000031,2025-04-14T00:00:00Z,2025-05-01T11:33:00Z
T0009,W003,34b102ddfdef3199a49c14147c25240f32f3a7e39d7584d285ea9c14548b821c,Ethereum,0xb542b7eca39176a8ef75adcc1283b01d8533cef0,2.26,ETH,out,19000032,2025-04-15T00:00:00Z,2025-05-01T11:33:00Z
T0010,W004,e09e2fc10d4afd3c870abf262027ef7c207d1004d067227f986779e2d4944c7b,Ethereum,0xe0005c9df4a02373658fac9556bd3206865cefb2,0.9,ETH,out,19000040,2025-04-14T00:00:00Z,2025-05-01T11:34:00Z
T0011,W004,8f720cc7aae0d5ac05a0eb3017b8b574e4f5fda33c52b3fe03f3f541fff62aa5,Ethereum,0xec9934841190803407d04425d0d21a1ad8951e3d,1.63,ETH,in,19000041,2025-04-15T00:00:00Z,2025-05-01T11:34:00Z
T0012,W004,c4da386d74e139f415f6eedcd8da6fb9dda31403361dfa67cd0f06aa236aa552,Ethereum,0x3a4e4aea8b5a51de02fe8f93a65dfda5d42ef01e,2.36,ETH,out,19000042,2025-04-16T00:00:00Z,2025-05-01T11:34:00Z
T0013,W005,a2008a7031ca4d6ff49137d9b30f8be97da7e277ffb4d3fdb0f9904b9aabfcd2,Bitcoin,mzR1AdLj96HfgTmvMG15XMktDiB9wFdjLM,1.0,BTC,out,19000050,2025-04-15T00:00:00Z,2025-05-01T11:35:00Z
T0014,W005,1025915a51eb7a2f641e740d9f78024f1928a9a10904eb06517c0e5635e4d8e1,Bitcoin,mmWJRu515rPt4NwCbdDBk7W3zbuBV9H8nR,1.73,BTC,in,19000051,2025-04-16T00:00:00Z,2025-05-01T11:35:00Z
T0015,W005,98e3d3f14865fd07f1cc0b64d7431b323355bca7cc2d1a3f0ca08cbe0675d439,Bitcoin,mnPr7wmdMhy8weL4Sbaoxeaduzk1YCjqgg,2.46,BTC,out,19000052,2025-04-17T00:00:00Z,2025-05-01T11:35:00Z
T0016,W006,0cbd95d910f643af201c936c498d13498d87338a1a24d98a360c87e9be0b0c46,Bitcoin,n27M4oYfBCK5w7eq8NMn7UvHyTF4nbc77R,1.1,BTC,out,19000060,2025-04-16T00:00:00Z,2025-05-01T11:36:00Z
T0017,W006,6f54fd48d206726a8fbcdfde593ae34360390064a089e13471191d5f5bca102b,Bitcoin,mrW4MmxgG3GJuGQEEjoaNVi5NhsmgSosqR,1.83,BTC,in,19000061,2025-04-17T00:00:00Z,2025-05-01T11:36:00Z
T0018,W006,7db75052ec85fee7190f681ff83bdb862a9c3ef9a50ec737efa252ed13ad83ea,Bitcoin,mx9P79uczBSCQUtdmwjc8PiX5kAFKVRLuH,2.56,BTC,out,19000062,2025-04-18T00:00:00Z,2025-05-01T11:36:00Z
T0019,W007,d0b272c6dc24e7f6ba2af9365ad543e5849341a729e090dab650e10be58868d8,Ethereum,0x83594d04ce47724906a4043fef5447ede5108766,1.2,ETH,out,19000070,2025-04-17T00:00:00Z,2025-05-01T11:37:00Z
T0020,W007,9596da51e4e53e63359ab826a0bb50d97de53dd65429a9bc6ec549141e40839f,Ethereum,0x399645a6f69350a524831eb06a6a015304c76940,1.93,ETH,in,19000071,2025-04-18T00:00:00Z,2025-05-01T11:37:00Z
T0021,W007,d221676ac40f81c7bceee56b724fd30bc91d5ec10b9c80b530219422baecf43c,Ethereum,0x8568b7603656fc028406fc2478eb5c3afcbb4ed5,2.66,ETH,out,19000072,2025-04-19T00:00:00Z,2025-05-01T11:37:00Z
T0022,W008,89e3b2a81269a9e4ce56fdefc4f6bb265045e9a72efd72ab8fbb5422777bff5b,Ethereum,0xb1e1963ebc715e698441bb5bd5607922d5b795c0,1.3,ETH,out,19000080,2025-04-18T00:00:00Z,2025-05-01T11:38:00Z
T0023,W008,938b6852524eb9beea9ef78ceeb6759ca2d7436715980bd56090fcb04c636aa3,Ethereum,0x0c36a5cbca4e5a7902807ab957b5974bb6d1667f,2.03,ETH,in,19000081,2025-04-19T00:00:00Z,2025-05-01T11:38:00Z
T0024,W008,a2073e97744287ec1cf2d623c19a59cded7ced7f41dfccb0c71c78978617f4c9,Ethereum,0x2c19ea338d73afab4562f73359852b5dbf5a493c,2.76,ETH,out,19000082,2025-04-20T00:00:00Z,2025-05-01T11:38:00Z
T0025,W009,6641f6b43da41bcc94802f11f2c4efdfbb62883f5280fb302ee14de4c255543a,Bitcoin,mjx76iY9qj85etxmFt237vJgtDSjxQLSks,1.4,BTC,out,19000090,2025-04-19T00:00:00Z,2025-05-01T11:39:00Z
T0026,W009,9080793b330d66267a31620ac29ba94b853d00a93c27d6571bafd2c26d9869c9,Bitcoin,msj54HpvrGADMrvTziXxostjuVzjT34Qea,2.13,BTC,in,19000091,2025-04-20T00:00:00Z,2025-05-01T11:39:00Z
T0027,W009,9781fbda8397c76918249e7eb42c2ec9651c8ade6c2f438aa2fb56cde55482db,Bitcoin,miHhP11sRikS2B6FKNWtnVptF2tFGcCirC,2.86,BTC,out,19000092,2025-04-21T00:00:00Z,2025-05-01T11:39:00Z
